feature,obs_mean,obs_sd,null_mean,null_sd,mean_diff,z_screen_mc,p_screen_mc,null_q025,null_median,null_q975,q_bh_screen_mc
bbox_area,24.924308588064047,0.6106033166292026,24.90975,0.6675531580787727,0.014558588064048195,1.1808080156782357,0.23767899906611012,25.0,25.0,25.0,0.46545470650446563
outer_ring,9.633187772925764,1.1959717617193437,9.608,1.2010862293801057,0.02518777292576324,1.1354328925445794,0.2561939844939428,7.0,10.0,12.0,0.4816446908486125
col_3,2.974090247452693,0.9925015945911397,2.99315,0.9967711648807648,-0.019059752547307074,-1.035303498300403,0.3005271966098788,1.0,3.0,5.0,0.5432607015640116
row_4,2.981077147016012,1.003164767103629,2.999,1.0014734881450296,-0.017922852983988324,-0.9689772379447925,0.33255654617546515,1.0,3.0,5.0,0.576301345072795
row_1,3.01018922852984,1.0032915219343186,2.99325,1.0009268356011398,0.016939228529839756,0.9162989388771854,0.35951012442193286,1.0,3.0,5.0,0.576301345072795
adj_h,6.9720524017467245,1.2966195273739813,6.9933,1.3084115205222522,-0.021247598253275157,-0.8792479741944474,0.37926683774087244,4.0,7.0,9.0,0.576301345072795
h_runs,8.027947598253276,1.2966195273739813,8.0067,1.3084115205222522,0.021247598253275157,0.8792479741944474,0.37926683774087244,6.0,8.0,11.0,0.576301345072795
comp4_largest,11.151673944687046,2.7331299605278803,11.1962,2.7467585977183555,-0.044526055312953616,-0.8776869044281641,0.38011365313312007,6.0,12.0,15.0,0.576301345072795
comp8_largest,14.301310043668122,1.4126832200664374,14.2796,1.4667076742043994,0.021710043668122125,0.8014252516967156,0.4228855012832423,9.0,15.0,15.0,0.6077911730245459
sym_rot180,0.6017855409995148,0.11243489140868962,0.6001366666666667,0.11251840791446517,0.0016488743328481048,0.7934322862694664,0.4275260062555848,0.4,0.6,0.8,0.6077911730245459
longest_v,3.8852983988355168,0.8472105672359286,3.89735,0.8444220685957329,-0.012051601164483117,-0.7727358575264179,0.4396787209113736,2.0,4.0,5.0,0.6077911730245459
longest_h,3.8777292576419216,0.8420110519421821,3.8893,0.8504596839849049,-0.011570742358078423,-0.7366367512675741,0.46134327934126285,2.0,4.0,5.0,0.619518117972553
col_4,3.0128093158660842,1.002535572579396,2.9995,1.0099261099394237,0.013309315866084415,0.7135296450369205,0.47551807556141756,1.0,3.0,5.0,0.6208152653162952
centroid_radius,0.2956058237678268,0.14973829538161015,0.2970745194277921,0.15041230368490924,-0.0014686956599653245,-0.5286817735554674,0.5970262229929748,0.06666666666666667,0.2748737083745107,0.6146362971528592,0.7283177780300976
isolated4,0.9278020378457059,0.9359348562534601,0.9188,0.9333542293823257,0.009002037845705968,0.5222040362417502,0.6015282760513999,0.0,1.0,3.0,0.7283177780300976
sym_ud,0.6678117418728773,0.10420516110122696,0.6668266666666667,0.10293284619210687,0.000985075206210606,0.5181569125019854,0.6043487945356129,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.7283177780300976
bbox_height,4.991266375545852,0.093058418889747,4.99045,0.0977715473119516,0.0008163755458516775,0.45208842572627034,0.6512052814820897,5.0,5.0,5.0,0.7651662057414554
comp8_count,1.3508005822416302,0.5598395275107277,1.34715,0.553942433932449,0.0036505822416301736,0.35681523687799616,0.7212301287591706,1.0,1.0,3.0,0.8267760012605126
anisotropy,0.185109670221666,0.10235645906678864,0.1846580400981973,0.10057119186048631,0.00045163012346868814,0.24313931793814267,0.8078974736037696,0.03254050241653713,0.1699163505566199,0.41666397861002874,0.8694040140556848
sym_lr,0.6666278505579815,0.10385688994461945,0.6670699999999999,0.1034157459359649,-0.00044214944201848017,-0.23148790367231914,0.8169357817359113,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.8694040140556848
var_y,1.9458127122755946,0.2939491523615585,1.9446271111111113,0.29343999303985285,0.0011856011644832964,0.21875863413698435,0.8268380715482677,1.3600000000000003,1.9555555555555557,2.4888888888888894,0.8694040140556848
centroid_y,-0.0006792819019893252,0.23476594725999667,0.00023999999999999987,0.2352068537878074,-0.0009192819019893251,-0.21161411239742384,0.8324080985639535,-0.4666666666666667,0.0,0.4666666666666667,0.8694040140556848
adj_diag_dr,5.5895196506550215,1.3695692995343531,5.5925,1.315534219058583,-0.0029803493449787055,-0.12266224633706078,0.9023745610963522,3.0,6.0,8.0,0.9219913993810556
row_5,3.003493449781659,0.9956162034239266,3.00305,0.9968903585747787,0.000443449781659222,0.024084794175631086,0.9807849722953719,1.0,3.0,5.0,0.9807849722953719
